name,NetMF_1,NetMF_2,NetMF_3,NetMF_4,NetMF_5,NetMF_6,NetMF_7,NetMF_8,NetMF_9,NetMF_10,NetMF_11,NetMF_12,NetMF_13,NetMF_14,NetMF_15,NetMF_16,NetMF_17,NetMF_18,NetMF_19,NetMF_20,NetMF_21,NetMF_22,NetMF_23,NetMF_24,NetMF_25,NetMF_26,NetMF_27,NetMF_28,NetMF_29,NetMF_30,NetMF_31,NetMF_32
ENSG00000178568,609.11926,85.521385,92.39085,61.847797,-23.30493,-24.82071,4.200499,-0.6641067,-26.60821,15.293793,-45.181755,28.566988,72.248955,63.10178,-3.2267222,8.608877,-0.3054203,46.250813,-23.722834,-34.579716,-13.371219,-1.9102365,-64.89544,-16.020685,-9.360389,-6.333485,20.602589,3.0856006,-0.25503382,-1.6113235,-0.33359742,18.795063
ENSG00000105053,439.93994,-42.045902,91.31544,1.0017679,-10.042614,-1.7500352,27.539808,-52.323647,0.84524405,-4.3758574,7.798744,-5.1627307,-17.556322,-30.728254,-15.356376,52.395546,-17.262695,15.25084,-34.325245,-17.142359,5.0086846,-12.361838,-1.8655528,9.809697,5.0941887,-11.621066,40.365112,-25.728033,-9.814491,-21.880959,5.8237324,-31.380816
ENSG00000179335,577.3855,82.398865,-11.794526,85.672935,-7.7989244,-13.863492,2.5972657,-50.179203,13.72557,40.986122,8.282318,1.4433286,25.39224,-25.275042,13.479362,17.459986,9.621914,-18.84621,-18.991669,-6.4054136,-27.666801,63.626396,-35.287346,-9.765783,7.8810287,9.712729,15.437622,-18.270985,2.7470472,1.9824892,-3.0168893,7.222564
ENSG00000105146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000182511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000182578,513.0156,-50.241817,120.057625,4.620132,-31.241283,-47.526806,-39.755287,19.707825,-18.980751,18.412315,-27.143826,25.106144,47.09529,-61.656704,-8.78667,29.110098,-28.62577,0.1519179,-8.529866,-21.005636,33.864918,40.20521,-17.113708,-31.83111,11.797056,27.657938,14.244899,-45.680656,1.0606173,3.1740837,23.320911,18.887793
ENSG00000105221,630.2732,60.5274,68.647354,117.607994,-8.827597,-5.2461114,20.533718,-31.800478,-9.307538,20.957233,-2.7246606,12.414928,3.3859615,-14.785784,4.7496,23.99502,2.3748617,-2.6782122,5.418213,-6.680854,-16.443678,17.153242,-56.435482,12.037781,-0.30004892,9.974744,-7.6682806,-1.4209548,-15.516323,-20.271706,-17.437027,-11.166764
ENSG00000182580,412.7989,-37.71866,119.97719,-2.6417787,-8.8092375,-27.450607,-11.311755,-15.375037,-6.12378,-20.14817,-3.5164473,-19.04528,16.539576,-5.8138647,-16.20708,39.306587,-27.712803,3.5552964,-21.356976,-20.142384,-12.422607,-9.631909,-20.723032,8.846754,17.964773,-29.295065,-0.6386071,14.996866,-4.5893655,-8.9363365,-11.066793,1.3659877
ENSG00000105287,487.3307,-51.603607,78.42282,28.963644,-14.517117,0.677314,30.97481,-76.592926,-13.929335,54.123085,-5.8662906,4.918451,21.749483,-45.6459,44.68015,1.6117482,-6.75989,19.414896,0.7670891,10.304792,-21.188017,12.651288,-1.4942857,-22.11475,8.100215,-12.459146,11.677286,6.6506596,11.815007,-7.488108,-9.027163,2.4064548
ENSG00000183317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000105613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000185483,451.89575,185.14679,100.53845,17.370117,-2.1483047,-28.211695,2.8131459,-5.760929,7.2363977,-9.939547,-2.554505,-0.92460036,8.308645,-29.251133,-9.723975,32.36788,-21.506372,8.130373,-28.939342,-24.323338,-8.905032,-4.442631,-34.88867,-10.725585,4.1714244,-9.476348,-4.040421,8.859092,2.3919795,-12.154992,0.76245654,-8.260196
ENSG00000105810,503.62537,-59.308773,18.667295,42.13705,37.411118,-81.49471,30.212435,-36.49193,0.99957174,49.328392,-18.771358,48.42149,-2.7377155,-32.977066,-6.220765,13.162729,7.8521123,10.950599,-13.6609535,8.066063,-2.1946938,12.0586605,8.875488,-1.1932243,9.02325,-19.35528,17.250835,5.5774612,-8.112124,-4.677824,-7.6151257,-9.331042
