"most_freq"	"count_E"	"count_aE"	"count_aNE"	"count_NE"
"CEP63"	"aNE"	0	0	25	5
"CEP68"	"aNE"	0	3	27	0
"CEP70"	"aNE"	0	0	19	11
"CEP72"	"aNE"	0	0	23	7
"CEP76"	"NE"	0	0	7	23
"CEP78"	"aNE"	0	0	25	5
"CEP83"	"aNE"	0	0	15	15
"CEP85"	"aNE"	0	6	23	1
"CEP85L"	"aNE"	0	0	15	15
"CEP89"	"aNE"	0	0	15	15
"CEP95"	"aNE"	0	0	28	2
"CEP97"	"aNE"	0	3	27	0
"CEPT1"	"aNE"	0	6	24	0
"CER1"	"aNE"	0	0	21	9
"CERCAM"	"aNE"	0	0	29	1
"CERK"	"aNE"	0	0	15	15
"CERKL"	"aNE"	0	0	19	11
"CERS1"	"aNE"	0	0	25	5
"CERS2"	"aNE"	0	8	20	2
"CERS3"	"NE"	0	0	14	16
"CERS4"	"aNE"	0	0	24	6
"CERS5"	"NE"	0	0	11	19
"CERS6"	"aNE"	0	0	16	14
"CERT1"	"aNE"	0	0	27	3
"CES1"	"aNE"	0	0	23	7
"CES2"	"aNE"	0	0	16	14
"CES3"	"aNE"	0	0	20	10
"CES4A"	"NE"	0	0	14	16
"CES5A"	"aNE"	0	0	17	13
"CETN1"	"NE"	0	0	3	27
"CETN2"	"aNE"	NA	NA	NA	NA
"CETN3"	"aNE"	0	0	22	8
"CETP"	"aNE"	0	0	23	7
"CFAP100"	"aNE"	0	0	23	7
"CFAP126"	"aNE"	0	0	20	10
"CFAP157"	"NE"	0	0	13	17
"CFAP161"	"NE"	0	0	10	20
"CFAP20"	"aNE"	0	10	20	0
"CFAP206"	"aNE"	0	0	21	9
"CFAP20DC"	"NE"	0	0	2	28
"CFAP210"	"aNE"	0	0	22	8
"CFAP221"	"aNE"	0	0	26	4
"CFAP251"	"aNE"	0	0	16	14
"CFAP298"	"E"	26	4	0	0
"CFAP299"	"aNE"	0	0	20	10
"CFAP300"	"aNE"	0	0	28	2
"CFAP36"	"aNE"	0	0	22	8
"CFAP410"	"aNE"	0	0	22	8
"CFAP418"	"NE"	0	0	12	18
"CFAP43"	"aNE"	0	0	22	8
"CFAP44"	"aNE"	0	0	26	4
"CFAP45"	"aNE"	0	0	19	11
"CFAP46"	"NE"	0	0	14	16
"CFAP47"	"NE"	NA	NA	NA	NA
"CFAP52"	"NE"	0	0	7	23
"CFAP53"	"NE"	0	0	7	23
"CFAP57"	"aNE"	0	0	30	0
"CFAP58"	"aNE"	0	0	22	8
"CFAP61"	"aNE"	0	0	18	12
"CFAP65"	"aNE"	0	0	18	12
"CFAP69"	"aNE"	0	0	20	10
"CFAP70"	"aNE"	0	0	26	4
"CFAP73"	"NE"	0	0	14	16
"CFAP77"	"aNE"	0	0	26	4
"CFAP91"	"aNE"	0	0	26	4
"CFAP92"	"aNE"	0	0	21	9
"CFAP97"	"NE"	0	0	14	16
"CFAP97D1"	"aNE"	0	1	28	1
"CFB"	"aNE"	0	0	30	0
"CFD"	"NE"	0	0	10	20
"CFDP1"	"aNE"	0	6	23	1
"CFH"	"aNE"	0	0	28	2
"CFHR1"	"aNE"	0	0	15	15
"CFHR3"	"aNE"	0	0	18	12
"CFHR5"	"aNE"	0	0	15	15
"CFI"	"NE"	0	0	8	22
"CFL1"	"aNE"	0	12	18	0
"CFL2"	"aNE"	0	0	27	3
"CFLAR"	"E"	15	12	3	0
"CFP"	"NE"	NA	NA	NA	NA
"CFTR"	"NE"	0	0	11	19
"CGA"	"NE"	0	0	5	25
"CGAS"	"aNE"	0	0	27	3
"CGGBP1"	"aNE"	0	0	25	5
"CGN"	"aNE"	0	0	28	2
"CGNL1"	"aNE"	0	0	17	13
"CGREF1"	"NE"	0	0	5	25
"CGRRF1"	"aNE"	0	0	20	10
"CH25H"	"aNE"	0	0	18	12
"CHAC1"	"aNE"	0	0	19	11
"CHAC2"	"NE"	0	0	11	19
"CHAD"	"aNE"	0	0	29	1
"CHADL"	"NE"	0	0	7	23
"CHAF1A"	"E"	25	5	0	0
"CHAF1B"	"E"	29	1	0	0
"CHAMP1"	"aNE"	0	1	23	6
"CHAT"	"aNE"	0	0	18	12
"CHCHD1"	"aNE"	0	14	16	0
"CHCHD10"	"aNE"	0	0	20	10
"CHCHD2"	"aE"	5	15	10	0
"CHCHD3"	"aNE"	0	3	27	0
"CHCHD4"	"aE"	3	26	1	0
"CHCHD5"	"aNE"	0	1	28	1
"CHCHD6"	"aNE"	0	0	20	10
"CHCHD7"	"aNE"	0	0	17	13
"CHD1"	"aNE"	0	2	23	5
"CHD1L"	"aNE"	0	0	21	9
"CHD2"	"aNE"	0	0	21	9
"CHD3"	"aNE"	0	0	21	9
"CHD4"	"E"	20	10	0	0
"CHD5"	"aNE"	0	0	21	9
"CHD6"	"aNE"	0	0	16	14
"CHD7"	"aNE"	0	0	18	12
"CHD8"	"aNE"	0	2	24	4
"CHD9"	"aNE"	0	0	19	11
"CHDH"	"aNE"	0	0	20	10
"CHEK1"	"E"	30	0	0	0
"CHEK2"	"NE"	0	0	3	27
"CHERP"	"E"	23	7	0	0
"CHFR"	"aNE"	0	0	23	7
"CHGA"	"aNE"	0	0	26	4
"CHGB"	"aNE"	0	0	27	3
"CHI3L1"	"NE"	0	0	9	21
"CHI3L2"	"aNE"	0	0	28	2
"CHIA"	"aNE"	0	0	20	10
"CHIC1"	"NE"	NA	NA	NA	NA
"CHIC2"	"aNE"	0	0	17	13
"CHID1"	"aNE"	0	0	28	2
"CHIT1"	"aNE"	0	0	21	9
"CHKA"	"aNE"	0	0	30	0
"CHKB"	"NE"	0	0	12	18
"CHL1"	"aNE"	0	0	20	10
"CHM"	"aNE"	NA	NA	NA	NA
"CHML"	"aNE"	0	0	18	12
"CHMP1A"	"aNE"	0	4	25	1
"CHMP1B"	"NE"	0	0	12	18
"CHMP2A"	"E"	30	0	0	0
"CHMP2B"	"aNE"	0	0	16	14
"CHMP3"	"aE"	11	14	5	0
"CHMP4A"	"aNE"	0	0	27	3
"CHMP4B"	"E"	20	9	1	0
"CHMP4C"	"aNE"	0	0	27	3
"CHMP5"	"aE"	2	22	6	0
"CHMP6"	"E"	29	1	0	0
"CHMP7"	"aE"	2	23	5	0
"CHN1"	"NE"	0	0	11	19
"CHN2"	"NE"	0	0	9	21
"CHODL"	"aNE"	0	0	25	5
"CHORDC1"	"aE"	4	15	9	2
"CHP1"	"aNE"	0	0	23	7
"CHP2"	"aNE"	0	0	22	8
"CHPF"	"aNE"	0	0	17	13
"CHPF2"	"aNE"	0	0	29	1
"CHPT1"	"aNE"	0	0	16	14
"CHRAC1"	"aNE"	0	0	24	6
"CHRD"	"aNE"	0	0	15	15
"CHRDL1"	"NE"	NA	NA	NA	NA
"CHRDL2"	"aNE"	0	1	19	10
"CHRM1"	"aNE"	0	0	19	11
"CHRM2"	"aNE"	0	0	18	12
"CHRM3"	"NE"	0	0	9	21
"CHRM4"	"aNE"	0	0	26	4
"CHRM5"	"NE"	0	0	13	17
"CHRNA1"	"aNE"	0	0	23	7
"CHRNA10"	"aNE"	0	0	17	13
"CHRNA2"	"NE"	0	0	3	27
"CHRNA3"	"NE"	0	0	4	26
"CHRNA4"	"aNE"	0	0	20	10
"CHRNA5"	"aNE"	0	0	20	10
"CHRNA6"	"aNE"	0	0	16	14
"CHRNA7"	"aNE"	0	0	16	14
"CHRNA9"	"aNE"	0	0	30	0
"CHRNB1"	"aNE"	0	0	15	15
"CHRNB2"	"aNE"	0	0	21	9
"CHRNB3"	"NE"	0	0	9	21
"CHRNB4"	"NE"	0	0	6	24
"CHRND"	"aNE"	0	1	28	1
"CHRNE"	"aNE"	0	0	20	10
"CHRNG"	"aNE"	0	1	28	1
"CHST1"	"NE"	0	0	13	17
"CHST10"	"aNE"	0	0	26	4
"CHST11"	"aNE"	0	0	20	10
"CHST12"	"NE"	0	0	12	18
"CHST13"	"NE"	0	0	5	25
"CHST14"	"NE"	0	0	9	21
"CHST15"	"NE"	0	0	4	26
"CHST2"	"aNE"	0	0	27	3
"CHST3"	"aNE"	0	0	16	14
"CHST4"	"aNE"	0	0	24	6
"CHST5"	"NE"	0	0	11	19
"CHST6"	"NE"	0	0	12	18
"CHST7"	"aNE"	NA	NA	NA	NA
"CHST8"	"aNE"	0	1	28	1
"CHST9"	"NE"	0	0	10	20
"CHSY1"	"NE"	0	0	2	28
"CHSY3"	"NE"	0	0	9	21
"CHTF18"	"aE"	0	16	14	0
"CHTF8"	"aNE"	2	11	17	0
"CHTOP"	"aNE"	0	0	30	0
"CHUK"	"aNE"	0	1	25	4
"CHURC1"	"aNE"	0	1	28	1
"CIAO1"	"E"	17	12	1	0
"CIAO2A"	"aNE"	1	14	15	0
"CIAO2B"	"E"	22	6	2	0
"CIAO3"	"E"	29	1	0	0
"CIAPIN1"	"aE"	9	20	1	0
"CIART"	"aNE"	0	0	30	0
"CIB1"	"aNE"	0	0	24	6
"CIB2"	"NE"	0	0	13	17
"CIB3"	"NE"	0	0	11	19
"CIB4"	"aNE"	0	0	27	3
"CIBAR1"	"aNE"	0	0	19	11
"CIBAR2"	"aNE"	0	0	26	4
"CIC"	"NE"	0	0	12	18
"CIDEA"	"NE"	0	0	10	20
"CIDEB"	"aNE"	0	1	27	2
"CIDEC"	"aNE"	0	0	29	1
"CIITA"	"NE"	0	0	14	16
"CILK1"	"aNE"	0	0	15	15
"CILP"	"aNE"	0	0	28	2
"CILP2"	"aNE"	0	0	17	13
"CINP"	"E"	15	12	3	0
"CIP2A"	"aNE"	0	2	28	0
"CIPC"	"NE"	0	0	8	22
"CIR1"	"aNE"	0	3	27	0
"CIRBP"	"aNE"	0	0	18	12
"CISD2"	"aNE"	0	0	20	10
"CISD3"	"aNE"	0	0	28	2
"CISH"	"aNE"	0	0	23	7
"CIT"	"aNE"	0	2	28	0
"CITED1"	"NE"	NA	NA	NA	NA
"CITED2"	"aNE"	0	0	26	4
"CITED4"	"aE"	0	17	13	0
"CIZ1"	"aNE"	0	0	30	0
"CKAP2"	"aNE"	0	0	30	0
"CKAP2L"	"aNE"	0	0	25	5
"CKAP4"	"aNE"	0	0	16	14
"CKAP5"	"E"	29	1	0	0
"CKB"	"aNE"	0	0	16	14
"CKLF"	"aNE"	0	0	25	5
"CKM"	"NE"	0	0	14	16
"CKMT2"	"NE"	0	0	6	24
"CKS2"	"aNE"	0	13	17	0
"CLASRP"	"aNE"	0	8	22	0
"CLBA1"	"NE"	0	0	5	25
"CLC"	"aNE"	0	0	18	12
"CLCA1"	"aNE"	0	0	16	14
"CLCA2"	"aNE"	0	0	16	14
"CLCA4"	"aNE"	0	0	24	6
"CLCC1"	"aNE"	0	6	24	0
"CLCF1"	"NE"	0	0	13	17
"CLCN1"	"aNE"	0	0	21	9
"CLCN2"	"NE"	0	0	12	18
"CLCN3"	"NE"	0	0	8	22
"CLCN4"	"NE"	NA	NA	NA	NA
"CLCN5"	"NE"	NA	NA	NA	NA
"CLCN6"	"aNE"	0	0	24	6
"CLCN7"	"aNE"	0	0	25	5
"CLCNKA"	"NE"	0	0	14	16
"CLCNKB"	"NE"	0	0	8	22
"CLDN1"	"aNE"	0	0	18	12
"CLDN10"	"NE"	0	0	10	20
"CLDN11"	"aNE"	0	0	23	7
"CLDN12"	"aNE"	0	0	15	15
"CLDN14"	"NE"	0	0	6	24
"CLDN15"	"aNE"	0	0	16	14
"CLDN16"	"NE"	0	0	13	17
"CLDN17"	"NE"	0	0	1	29
"CLDN18"	"aNE"	0	0	26	4
"CLDN19"	"aNE"	0	0	29	1
"CLDN2"	"NE"	NA	NA	NA	NA
"CLDN20"	"NE"	0	0	9	21
"CLDN22"	"NE"	0	0	8	22
"CLDN23"	"NE"	0	0	4	26
"CLDN25"	"aNE"	0	0	18	12
"CLDN3"	"NE"	0	0	14	16
"CLDN4"	"NE"	0	0	14	16
"CLDN5"	"NE"	0	0	7	23
"CLDN6"	"aNE"	0	1	29	0
"CLDN7"	"aNE"	0	0	26	4
"CLDN8"	"NE"	0	0	6	24
"CLDN9"	"aNE"	0	0	24	6
"CLDND1"	"aNE"	0	0	25	5
"CLDND2"	"NE"	0	0	13	17
"CLEC10A"	"NE"	0	0	2	28
"CLEC11A"	"NE"	0	0	12	18
"CLEC12A"	"NE"	0	0	13	17
"CLEC12B"	"aNE"	0	0	15	15
"CLEC14A"	"aNE"	0	0	26	4
"CLEC16A"	"aNE"	0	0	15	15
"CLEC17A"	"NE"	0	0	14	16
"CLEC1A"	"NE"	0	0	14	16
"CLEC1B"	"NE"	0	0	2	28
"CLEC2A"	"aNE"	0	0	15	15
"CLEC2B"	"NE"	0	0	9	21
"CLEC2D"	"NE"	0	0	4	26
"CLEC2L"	"aNE"	0	0	21	9
"CLEC3A"	"NE"	0	0	11	19
"CLEC3B"	"NE"	0	0	14	16
"CLEC4A"	"aNE"	0	0	17	13
"CLEC4C"	"NE"	0	0	10	20
"CLEC4D"	"aNE"	0	0	23	7
"CLEC4E"	"aNE"	0	0	21	9
"CLEC4F"	"aNE"	0	0	18	12
"CLEC4G"	"aNE"	0	0	20	10
"CLEC4M"	"NE"	0	0	6	24
"CLEC5A"	"NE"	0	0	12	18
"CLEC6A"	"aNE"	0	0	15	15
"CLEC7A"	"NE"	0	0	2	28
"CLEC9A"	"NE"	0	0	13	17
"CLECL1"	"NE"	0	0	12	18
"CLGN"	"aNE"	0	0	17	13
"CLHC1"	"aNE"	0	0	27	3
"CLIC1"	"aNE"	0	0	16	14
"CLIC2"	"NE"	NA	NA	NA	NA
"CLIC3"	"aNE"	0	0	23	7
"CLIC4"	"aNE"	0	0	18	12
"CLIC5"	"NE"	0	0	10	20
"CLIC6"	"NE"	0	0	9	21
"CLINT1"	"aNE"	0	0	16	14
"CLIP1"	"aNE"	0	0	22	8
"CLIP2"	"aNE"	0	0	20	10
"CLIP3"	"aNE"	0	0	19	11
"CLIP4"	"NE"	0	0	6	24
"CLK1"	"aNE"	0	0	17	13
"CLK2"	"aNE"	0	11	19	0
"CLK3"	"NE"	0	0	10	20
"CLK4"	"aNE"	0	0	26	4
"CLLU1"	"NE"	0	0	4	26
"CLMN"	"NE"	0	0	10	20
"CLMP"	"aNE"	0	0	16	14
"CLN3"	"aNE"	0	0	15	15
"CLN5"	"aNE"	0	0	19	11
"CLN6"	"aNE"	0	0	23	7
"CLN8"	"NE"	0	0	3	27
"CLNK"	"aNE"	0	0	15	15
"CLNS1A"	"E"	26	4	0	0
"CLOCK"	"NE"	0	0	7	23
"CLP1"	"E"	30	0	0	0
"CLPB"	"aNE"	0	0	24	6
"CLPP"	"aNE"	0	0	28	2
"CLPS"	"aNE"	0	0	27	3
"CLPSL1"	"NE"	0	0	13	17
"CLPSL2"	"aNE"	0	0	19	11
"CLPTM1"	"aNE"	0	0	21	9
"CLPTM1L"	"NE"	0	0	7	23
"CLPX"	"aNE"	0	0	27	3
"CLRN1"	"NE"	0	0	13	17
"CLRN2"	"aNE"	0	0	20	10
"CLRN3"	"NE"	0	0	5	25
"CLSPN"	"E"	16	13	1	0
"CLSTN1"	"aNE"	0	1	17	12
"CLSTN2"	"NE"	0	0	11	19
"CLSTN3"	"aNE"	0	0	27	3
"CLTA"	"aNE"	0	0	20	10
"CLTB"	"aNE"	0	0	27	3
"CLTC"	"E"	23	7	0	0
"CLTCL1"	"aNE"	0	0	26	4
"CLTRN"	"aNE"	NA	NA	NA	NA
"CLU"	"NE"	0	0	10	20
"CLUAP1"	"aNE"	0	0	18	12
"CLUH"	"aNE"	0	0	24	6
"CLUL1"	"NE"	0	0	14	16
"CLVS1"	"aNE"	0	0	26	4
"CLVS2"	"NE"	0	0	5	25
"CLYBL"	"NE"	0	0	8	22
"CMA1"	"aNE"	0	0	23	7
"CMAS"	"aNE"	0	0	21	9
"CMBL"	"NE"	0	0	8	22
"CMC1"	"aNE"	0	8	22	0
"CMC2"	"aNE"	0	0	16	14
"CMC4"	"NE"	NA	NA	NA	NA
"CMIP"	"aNE"	0	2	22	6
"CMKLR1"	"aNE"	0	0	20	10
"CMKLR2"	"aNE"	0	0	18	12
"CMPK1"	"aE"	9	19	2	0
"CMPK2"	"aNE"	0	0	22	8
"CMSS1"	"NE"	0	0	11	19
"CMTM2"	"aNE"	0	0	17	13
"CMTM3"	"aNE"	0	0	21	9
"CMTM4"	"aNE"	0	0	16	14
"CMTM5"	"aNE"	0	0	30	0
"CMTM6"	"aNE"	0	0	23	7
"CMTM7"	"NE"	0	0	2	28
"CMTM8"	"aNE"	0	0	15	15
"CMTR1"	"aE"	4	21	5	0
"CMTR2"	"aNE"	0	0	25	5
"CMYA5"	"aNE"	0	0	22	8
"CNBD1"	"NE"	0	0	1	29
"CNBD2"	"aNE"	0	0	27	3
"CNBP"	"aNE"	0	0	28	2
"CNDP1"	"NE"	0	0	7	23
"CNDP2"	"NE"	0	0	7	23
"CNEP1R1"	"aNE"	0	0	17	13
"CNFN"	"aNE"	0	0	20	10
"CNGA1"	"aNE"	0	0	24	6
"CNGA2"	"NE"	NA	NA	NA	NA
"CNGA3"	"aNE"	0	0	26	4
"CNGA4"	"NE"	0	1	13	16
"CNGB1"	"NE"	0	0	10	20
"CNGB3"	"aNE"	0	0	17	13
"CNIH1"	"aNE"	0	0	27	3
"CNIH2"	"aNE"	0	0	29	1
"CNIH3"	"NE"	0	0	11	19
"CNIH4"	"E"	26	3	1	0
"CNKSR1"	"aNE"	0	0	19	11
"CNKSR2"	"aNE"	NA	NA	NA	NA
"CNKSR3"	"NE"	0	0	13	17
"CNMD"	"NE"	0	0	13	17
"CNN1"	"aNE"	0	0	28	2
"CNN2"	"aE"	1	19	10	0
"CNN3"	"aNE"	0	0	19	11
"CNNM1"	"aNE"	0	0	24	6
"CNNM2"	"aNE"	0	0	24	6
"CNNM3"	"aNE"	0	0	21	9
"CNNM4"	"aNE"	0	0	24	6
"CNOT1"	"aE"	1	21	8	0
"CNOT10"	"aNE"	0	0	18	12
"CNOT11"	"aNE"	0	0	24	6
"CNOT2"	"aNE"	0	10	20	0
"CNOT3"	"E"	29	1	0	0
"CNOT4"	"aNE"	0	0	18	12
"CNOT6"	"aNE"	0	0	20	10
"CNOT6L"	"aNE"	0	0	24	6
"CNOT7"	"aNE"	0	10	20	0
"CNOT8"	"NE"	0	0	12	18
"CNOT9"	"aNE"	0	9	17	4
"CNP"	"aNE"	0	0	24	6
"CNPPD1"	"NE"	0	0	7	23
"CNPY1"	"NE"	0	0	8	22
"CNPY2"	"aNE"	0	0	29	1
"CNPY3"	"NE"	0	0	14	16
"CNPY4"	"aNE"	0	0	23	7
"CNR1"	"NE"	0	0	5	25
"CNR2"	"NE"	0	0	7	23
"CNRIP1"	"aNE"	0	0	18	12
"CNST"	"NE"	0	0	6	24
"CNTD1"	"aNE"	0	0	19	11
"CNTF"	"aNE"	0	0	17	13
"CNTFR"	"aNE"	0	0	21	9
"CNTLN"	"aNE"	0	0	17	13
"CNTN1"	"aNE"	0	0	25	5
"CNTN2"	"aNE"	0	0	25	5
"CNTN3"	"aNE"	0	0	19	11
"CNTN4"	"NE"	0	0	8	22
"CNTN5"	"NE"	0	0	1	29
"CNTN6"	"aNE"	0	0	20	10
"CNTNAP1"	"aNE"	0	0	29	1
"CNTNAP2"	"aNE"	0	0	21	9
"CNTNAP3"	"aNE"	0	0	29	1
"CNTNAP3B"	"aNE"	0	3	26	1
"CNTNAP4"	"NE"	0	0	6	24
"CNTNAP5"	"aNE"	0	0	16	14
"CNTRL"	"aNE"	0	0	25	5
"CNTROB"	"aNE"	0	0	16	14
"COA1"	"aNE"	0	0	26	4
"COA3"	"aNE"	0	2	28	0
"COA4"	"aNE"	0	0	22	8
"COA5"	"aNE"	0	3	27	0
"COA6"	"aNE"	0	4	26	0
"COA7"	"aNE"	0	6	23	1
"COA8"	"aNE"	0	0	18	12
"COASY"	"aNE"	0	7	23	0
"COBL"	"NE"	0	0	11	19
"COBLL1"	"aNE"	0	0	21	9
"COCH"	"aNE"	0	1	27	2
"COG1"	"aE"	1	26	3	0
"COG2"	"aE"	0	18	12	0
"COG3"	"E"	22	8	0	0
"COG4"	"aNE"	0	3	27	0
"COG5"	"aNE"	0	0	23	7
"COG6"	"aNE"	0	6	24	0
"COG7"	"aNE"	0	8	22	0
"COG8"	"aE"	1	21	8	0
"COIL"	"aNE"	0	9	21	0
"COL10A1"	"NE"	0	0	5	25
"COL11A1"	"aNE"	0	0	24	6
"COL11A2"	"aNE"	0	0	15	15
"COL12A1"	"aNE"	0	0	17	13
"COL13A1"	"aNE"	0	0	17	13
"COL14A1"	"aNE"	0	0	23	7
"COL15A1"	"aNE"	0	0	17	13
"COL16A1"	"NE"	0	0	5	25
"COL17A1"	"aNE"	0	0	21	9
"COL18A1"	"aNE"	0	0	21	9
"COL19A1"	"aNE"	0	0	18	12
"COL1A1"	"aNE"	0	0	28	2
"COL1A2"	"NE"	0	0	8	22
"COL20A1"	"aNE"	0	0	19	11
"COL21A1"	"NE"	0	0	7	23
"COL22A1"	"NE"	0	0	13	17
"COL23A1"	"aNE"	0	0	20	10
"COL24A1"	"aNE"	0	0	26	4
"COL25A1"	"aNE"	0	0	21	9
"COL27A1"	"NE"	0	0	9	21
"COL28A1"	"NE"	0	0	2	28
"COL2A1"	"NE"	0	0	10	20
"COL3A1"	"aNE"	0	0	18	12
"COL4A1"	"aNE"	0	0	18	12
"COL4A2"	"NE"	0	0	8	22
"COL4A3"	"aNE"	0	0	26	4
"COL4A4"	"NE"	0	0	10	20
"COL4A5"	"NE"	NA	NA	NA	NA
"COL4A6"	"NE"	NA	NA	NA	NA
"COL5A1"	"aNE"	0	0	27	3
"COL5A2"	"aNE"	0	0	25	5
"COL5A3"	"aNE"	0	0	18	12
"COL6A1"	"NE"	0	0	4	26
"COL6A2"	"NE"	0	0	13	17
"COL6A3"	"aNE"	0	0	19	11
"COL6A6"	"aNE"	0	0	22	8
"COL7A1"	"aNE"	0	0	28	2
"COL8A1"	"aNE"	0	0	24	6
"COL8A2"	"NE"	0	0	12	18
"COL9A1"	"aNE"	0	0	17	13
"COL9A2"	"aNE"	0	0	20	10
"COL9A3"	"aNE"	0	0	25	5
"COLCA2"	"aNE"	0	0	15	15
"COLEC10"	"NE"	0	0	4	26
"COLEC11"	"aNE"	0	0	19	11
"COLEC12"	"NE"	0	0	3	27
"COLGALT1"	"aNE"	0	0	24	6
"COLGALT2"	"aNE"	0	0	21	9
"COLQ"	"NE"	0	0	7	23
"COMMD1"	"aNE"	0	0	25	5
"COMMD10"	"aNE"	0	1	20	9
"COMMD2"	"aNE"	0	0	29	1
"COMMD3"	"aNE"	0	1	28	1
"COMMD4"	"aNE"	0	0	23	7
"COMMD5"	"aNE"	0	1	29	0
"COMMD6"	"aNE"	0	0	22	8
"COMMD7"	"aNE"	0	0	27	3
"COMMD8"	"aNE"	0	1	29	0
"COMMD9"	"aNE"	0	0	23	7
"COMP"	"aNE"	0	0	18	12
"COMT"	"aNE"	0	0	27	3
"COMTD1"	"aNE"	0	0	28	2
"COP1"	"aNE"	0	4	22	4
"COPA"	"E"	30	0	0	0
"COPB1"	"E"	30	0	0	0
"COPB2"	"E"	30	0	0	0
"COPE"	"E"	29	1	0	0
"COPG1"	"E"	29	1	0	0
"COPRS"	"aNE"	0	0	29	1
"COPS2"	"E"	19	11	0	0
"COPS3"	"aE"	10	19	1	0
"COPS4"	"aE"	15	15	0	0
"COPS5"	"E"	29	1	0	0
"COPS6"	"E"	27	3	0	0
"COPS7A"	"aNE"	0	0	21	9
"COPS7B"	"NE"	0	0	10	20
"COPS8"	"E"	19	11	0	0
"COPS9"	"aNE"	0	2	24	4
"COPZ1"	"E"	30	0	0	0
"COQ10A"	"aNE"	0	0	19	11
"COQ10B"	"aNE"	0	0	25	5
"COQ2"	"aNE"	0	6	24	0
"COQ3"	"aNE"	0	0	27	3
"COQ4"	"aNE"	1	8	21	0
"COQ5"	"aNE"	0	1	29	0
"COQ6"	"NE"	0	0	13	17
"COQ7"	"aNE"	0	0	28	2
"COQ8A"	"aNE"	0	0	20	10
"COQ8B"	"aNE"	0	0	21	9
"COQ9"	"aNE"	0	0	20	10
"CORIN"	"NE"	0	0	11	19
"CORO1A"	"aNE"	0	0	24	6
"CORO1B"	"aNE"	0	0	16	14
"CORO1C"	"aNE"	0	0	22	8
"CORO2A"	"aNE"	0	0	17	13
"CORO2B"	"NE"	0	0	10	20
"CORO6"	"aNE"	0	1	29	0
"CORO7"	"aNE"	0	0	25	5
"CORT"	"aNE"	0	0	18	12
"COTL1"	"NE"	0	0	14	16
"COX10"	"aNE"	0	0	25	5
"COX11"	"aNE"	0	4	25	1
"COX14"	"aNE"	0	1	23	6
"COX15"	"aNE"	0	2	20	8
"COX16"	"aNE"	0	0	23	7
"COX17"	"aE"	3	22	5	0
"COX18"	"aNE"	0	0	24	6
"COX19"	"aNE"	0	2	25	3
"COX20"	"aE"	0	22	8	0
"COX4I1"	"aNE"	0	3	25	2
"COX4I2"	"aNE"	0	0	22	8
"COX5A"	"aNE"	0	9	21	0
"COX5B"	"aNE"	1	10	19	0
"COX6A1"	"aE"	2	21	7	0
"COX6A2"	"aNE"	0	0	21	9
"COX6B1"	"aNE"	0	5	24	1
"COX6B2"	"NE"	0	0	12	18
"COX6C"	"aNE"	0	6	24	0
"COX7A1"	"NE"	0	0	11	19
"COX7A2"	"aNE"	0	0	26	4
"COX7A2L"	"aNE"	0	0	15	15
"COX7B"	"aE"	NA	NA	NA	NA
"COX7B2"	"NE"	0	0	10	20
"COX7C"	"aNE"	2	7	21	0
"COX8A"	"aNE"	0	0	24	6
"COX8C"	"NE"	0	0	9	21
"CP"	"NE"	0	0	7	23
"CPA1"	"aNE"	0	0	21	9
"CPA2"	"aNE"	0	0	23	7
"CPA3"	"aNE"	0	0	17	13
"CPA4"	"NE"	0	0	14	16
"CPA5"	"aNE"	0	0	28	2
"CPA6"	"aNE"	0	0	22	8
"CPAMD8"	"aE"	0	16	14	0
"CPB1"	"aNE"	0	0	26	4
"CPB2"	"NE"	0	0	14	16
"CPD"	"aNE"	0	2	25	3
"CPE"	"aNE"	0	0	16	14
"CPEB1"	"aNE"	0	0	23	7
"CPEB2"	"aNE"	0	0	15	15
"CPEB3"	"NE"	0	0	4	26
"CPEB4"	"aNE"	0	0	16	14
"CPED1"	"NE"	0	0	13	17
"CPLANE1"	"aNE"	0	0	17	13
"CPLANE2"	"aNE"	0	0	29	1
"CPLX1"	"NE"	0	0	5	25
"CPLX2"	"NE"	0	0	13	17
"CPLX3"	"NE"	0	0	4	26
"CPLX4"	"NE"	0	0	0	30
"CPM"	"aNE"	0	1	27	2
"CPN1"	"NE"	0	0	10	20
"CPN2"	"aNE"	0	0	22	8
"CPNE1"	"aNE"	0	0	25	5
"CPNE2"	"aNE"	0	0	30	0
"CPNE3"	"aNE"	0	0	24	6
"CPNE4"	"NE"	0	0	12	18
"CPNE5"	"aNE"	0	0	29	1
"CPNE6"	"aNE"	0	0	23	7
"CPNE7"	"aNE"	0	2	27	1
"CPNE8"	"NE"	0	0	14	16
"CPNE9"	"NE"	0	0	14	16
"CPO"	"NE"	0	0	14	16
"CPOX"	"aNE"	0	6	23	1
"CPPED1"	"NE"	0	0	7	23
"CPQ"	"aNE"	0	0	24	6
"CPS1"	"NE"	0	0	8	22
"CPSF1"	"E"	23	7	0	0
"CPSF2"	"E"	24	6	0	0
"CPSF3"	"E"	28	2	0	0
"CPSF4"	"E"	23	7	0	0
"CPSF4L"	"aNE"	0	0	23	7
"CPSF6"	"E"	17	12	1	0
"CPSF7"	"aNE"	0	1	25	4
"CPT1A"	"aNE"	0	0	28	2
"CPT1B"	"aNE"	0	0	23	7
"CPT1C"	"aNE"	0	0	19	11
"CPT2"	"aNE"	0	0	30	0
