ACH-000096,ACH-000159,ACH-000189,ACH-000234,ACH-000246,ACH-000250,ACH-000262,ACH-000272,ACH-000313,ACH-000317,ACH-000375,ACH-000385,ACH-000411,ACH-000433,ACH-000459,ACH-000484,ACH-000495,ACH-000600,ACH-000649,ACH-000684,ACH-000709,ACH-000792,ACH-000907,ACH-001163,ACH-001194,ACH-001310,ACH-001398,ACH-001532,ACH-001687,ACH-001688,ACH-002150,ACH-002189
CLTC,-1.04713830094228,-1.18740278864677,-1.37041408950614,-1.56889557724168,-1.31696540908595,-0.792330847008224,-1.50498447160669,-1.15758814558178,-1.66284327139842,-1.32813495992546,-1.78623383414981,-1.86321137993905,-0.870327875216872,-1.15510971093524,-1.68479456080552,-1.4962341788627,-1.31184459535311,-1.32159791601331,-1.20315412579245,-1.01761152497925,-0.530521934640878,-0.957202780785899,-1.79379992416348,-1.57592938487499,-1.64562040367957,-1.30225920659285,-1.03154500082003,-1.81888995955475,-1.58657421680061,-1.38223487399074,-1.24293478095489,-0.941746869868852
ATF2,0.101934481053984,0.0762777711340237,0.143298726498968,0.0787808038061701,0.16175114925538,-0.064381898368116,0.0946923870000994,-0.0441693475833196,-0.16612949052988,0.180874660102376,0.21122064069022,0.265347691881772,0.0874580400571652,0.345440180634232,-0.454191740561549,-0.0675925533178757,0.0693055536276551,0.0717630645359801,0.0949242785577053,0.0324098044457586,-0.143385469561732,0.0306884791533227,0.0259453688789551,0.0285099181172203,-0.0764476855765757,0.0764488893524009,-0.0740102724811588,0.07172277191747,0.0299924050954832,0.0371945660049189,0.0207790167491051,0.0707698394397633
DCN,0.141130392628344,0.150332140877142,0.140470510317786,0.0815380021735105,0.113713180424857,0.143803524978035,-0.0682250801265105,0.0742349128065656,0.0594401304771522,0.136236661607472,0.0080755546672914,-0.10977842056595,0.0427781656164361,0.0428007868855741,0.263272344547824,0.187092185112415,0.0982767094814836,0.0269576331284477,0.004656091161504,0.0606359656020225,-0.136176363242818,0.0510260722777715,0.152023332857903,0.0437219613935254,-0.0285185299260201,0.0190861022314091,-0.0346028024127925,0.0520953950306767,0.0580871782711656,0.175414287066151,0.144663567425799,-0.009194036439579
ZBTB16,0.0775924114790939,0.0141449645457589,-0.0014098968960904,0.0491077422021852,0.0566553627562989,0.0360216415275802,-0.0096490086248257,-0.0320112071821214,0.157250297694509,0.0766514327291921,0.136248208810507,0.0770158124194424,0.137473468217601,0.12987687278755,-0.204303190783137,-0.0476445922449032,-0.119597982107669,0.0243102873232779,0.0377944070508938,-0.0624669192622833,0.131462944480605,-0.0231236939693405,0.0930897612251633,0.0854869113249102,-0.0256646997763111,0.110840544052315,0.0903396143154392,-0.032173355522217,0.0738720687518554,-0.0009211015512076,0.121079909294322,0.0454473260656088
PCNA,-1.59871943525433,-2.33732769683082,-2.53065549974828,-2.33278842095332,-1.79384269444539,-2.34537259458602,-1.82830858148909,-2.17393734890693,-2.03744831792178,-2.25271976484115,-1.97523405865946,-2.51921797350745,-2.3718364586074,-2.49449226562173,-2.59344444507063,-2.52275468877707,-2.32547949721636,-2.41003894505344,-2.36500359460799,-1.96695081215037,-2.48302065875763,-2.37334917367083,-2.41929898845342,-2.46558180507508,-2.24531777027732,-2.33385769483314,-2.35903124537322,-2.37061995077888,-1.33818529561197,-2.43603201790403,-2.44702371555801,-2.46521679708148
GADD45A,0.257341374701777,0.0169900009326915,0.0139085728155782,0.183410129923058,0.139131841103856,0.214277754545773,0.0310050277952696,0.0724005493451426,0.180986553840749,0.117458689716636,0.255723003800219,0.103260992328151,0.0856700396277203,0.295999192723054,0.200229810046026,0.183768478891787,0.218733252790996,-0.0807550459080907,0.112662996774903,0.399822305841593,0.201917996267048,0.133810735772033,0.139845931977128,0.190124245393775,0.158372079178442,0.182201986153684,-0.0006611359590627,0.105513266417823,0.154156713271952,0.164663529492873,0.152042749979039,0.0209470926945982
TOPBP1,-0.782122107521185,-1.78109538933883,-1.85756498053822,-1.52325355151582,-1.59714459723949,-1.22467878787839,-1.75460648334343,-1.14207732885553,-1.06916295861953,-1.76753632473825,-0.99036679014494,-1.48988624176337,-1.7954108216507,-1.57308528961318,-1.97963869422095,-1.49692469138025,-1.87678716756915,-1.74813476539306,-1.46330805757673,-2.10802851528456,-1.54195687954555,-1.82861700346443,-1.89763709830111,-1.47100411190615,-1.67112616237842,-1.83256841900378,-1.68225973570023,-1.11090504898947,-1.32004568160161,-1.89401112542102,-1.31990124837186,-1.84251547290821
LSM3,-0.868178460940661,-1.62579672608894,-1.55057922294529,-1.3716443693896,-1.73402119807139,-1.46783050535045,-1.10964942194297,-2.053959191475,-1.66248549018083,-1.19090571969998,-1.62767594698602,-1.32274801037043,-1.60917373148447,-1.63631783494389,-1.48651213053657,-2.01053100761567,-1.5688486119111,-1.48093815444725,-1.38132417570139,-1.64013756863365,-1.28755961692707,-1.38379386412349,-1.2324511897107,-1.92441076458562,-1.56609293002878,-1.32711665375916,-1.88371130257916,-1.53222365282674,-1.35858602561183,-1.39067842131637,-1.71587831085998,-1.39209120077331
LSM4,-2.39074732316863,-1.80464174485606,-2.05021761341246,-1.70492405176582,-1.68329122850847,-1.98459329691676,-1.84479769660933,-1.77080447866195,-2.05001675621633,-1.2457473818181,-1.90726454864152,-1.71246254495929,-1.87687165678756,-1.89368136988406,-2.15352566725721,-1.81889559824418,-1.85343846694002,-1.97194604739924,-1.56754057822616,-1.61840592200303,-2.24697221695858,-1.89019430239549,-1.59854906925588,-1.97966961110665,-2.0943189501082,-1.66030292770007,-1.99332875293139,-1.74511280208207,-1.98099909775415,-1.84780405688784,-1.85089818280469,-1.86972263347342
LSM5,-1.20132145971528,-1.49866344949767,-1.04098675312596,-1.14014730617727,-1.63781723169773,-1.79293187778263,-1.21037003189408,-1.81478071329926,-2.19150626408373,-0.80226691219885,-1.61420209764843,-0.922489983600825,-1.48350569870848,-1.19159073936144,-1.37652360911775,-1.55630423762559,-1.46546359269121,-1.58161303856508,-1.41165163638767,-1.32195181473776,-1.94603344285485,-1.01015655032434,-1.37586343838489,-1.79858223455161,-2.12129603198515,-1.25114600932583,-1.02605350472381,-1.25798093156954,-1.82013198881152,-1.13746915700421,-1.49673438549258,-1.25263938297753
EEF1A1,-0.771301739432724,-2.15973412455344,-1.60760965813523,-1.8102750007409,-1.49804119559249,-2.03430844910031,-1.37616438503865,-2.17893455933355,-2.0585562963718,-1.89314836563146,-1.25170686535753,-1.98613131185152,-1.56022004685796,-1.58269355987128,-2.01070106375788,-1.78365068085571,-2.01705096959852,-2.06284896835967,-1.85113571539659,-2.26804998220108,-1.99617709133865,-1.80318623259253,-1.93824721331685,-1.89821468415269,-2.13683183156389,-1.76498027627538,-1.46998906920216,-1.64786961682477,-1.65686492631789,-2.05679690014212,-1.89785403546367,-1.92067623805301
EXOSC4,-1.32025989314237,-1.49620150715987,-1.59241727997094,-1.30108414183005,-1.16141988075582,-1.26249645765542,-1.18345428733242,-1.38519255020338,-1.21506729217891,-1.75860060683807,-1.18247949347861,-1.48466588662235,-1.46120445115578,-1.26865336681422,-0.90228014871178,-1.2317317496706,-1.45499746618367,-0.976303401847403,-1.37594039531193,-1.3032647068805,-1.06212928485512,-1.29393205269188,-1.14542876985915,-1.22497825690939,-1.15965976066094,-1.31183793101123,-1.41832846385606,-1.23407728740119,-1.785376957242,-0.941813684183823,-1.49525840501003,-1.11184982341902
KTN1,-0.0755388479497536,0.185786316266727,0.173686780475791,0.227990169943937,0.176664592082198,0.0896419068408818,0.0997730141186359,0.171046619829388,0.0981525129516513,0.0290752356913483,0.0359760500734988,-0.0133371490671052,0.168590278072109,0.186652764976898,0.205915949986931,0.0132598749556301,0.276741523396406,0.0783767602150341,0.122880565236365,0.0722696090142651,0.087452876347599,0.152186890549873,0.0888100215212517,0.0607132973556507,0.0939474417330546,0.261445504802801,0.222496724783847,0.0618025598130336,0.113584946648312,0.0397753673815131,0.0258051926901567,0.0367327420989622
DDX54,-1.24670523761731,-1.73607727775517,-1.37891893561716,-1.16934420420504,-1.21755319137987,-1.82762287086933,-1.44290974649296,-1.85781884414654,-1.84114862614106,-1.09655901525113,-1.05560359650013,-1.12190443746311,-1.35645737110104,-1.09825665870121,-1.33398592757147,-0.941725495856581,-1.16104780932269,-1.90718013534309,-1.63478129481522,-1.09576838124841,-1.8372508158581,-1.49289955429513,-1.32336941823457,-1.4770374148988,-1.69481106053096,-1.10500078238187,-1.42282284475795,-1.46628908495743,-1.86349094143901,-1.18196938613402,-1.42529790182922,-1.49609966569599
FTL,-0.0380593154174125,-0.194789905078224,-0.14865054635783,0.102861678003285,-0.063778486373443,0.0356029231262508,0.0709133170058049,0.016757330339381,0.114857297037577,0.259924948239852,-0.0178462174020637,0.105062827265649,0.098981421163339,-0.0777037005844068,-0.218543687703403,-0.0709530896393874,0.188691946538252,0.116095579724802,0.0964931328497856,0.0939221476152823,0.109103295468037,-0.101867395908658,0.0977932041594614,0.224261773335431,0.128008848931981,0.135313475964744,-0.034339803336959,0.0080433321815891,0.0313438455601497,0.0066149556626766,-0.0629611273618609,-0.0257463438103434
ITGB1,-0.349215467744254,0.0058415908878334,0.216294782457689,0.0303923520082972,0.0709098041858915,-0.0804693593095446,0.308346158988532,0.115899510607703,0.0827041137304127,-0.0409563336805277,-0.187249167033134,-0.272586363015455,0.0871654614829137,0.0409538897343773,0.14210971622964,-0.0657930258742612,0.0768490095111581,0.205160229833598,0.0692274654651527,0.613747437978798,0.105155792034703,-0.0614049577847698,0.174067058175007,0.0075931729338309,0.0938937830113869,-0.412410964078025,0.0826310849918953,-0.154495990632244,-0.14642636108973,0.528548708659475,-0.236815713473132,0.130128069049689
GABRG2,-0.11743702411906,0.116256825783645,-0.0246293125378349,0.0372313723731323,0.0414284308289214,0.0703909254976444,0.182668817176147,0.0787453460839444,0.0754441810771423,0.118835503868587,0.0283229908345847,0.241858283708454,0.0703077473273981,-0.0368762553582697,-0.22727262582829,0.120815125116655,0.151161768269595,0.0768304073884207,-0.0249043051649517,0.0126304662538774,0.0242150644884341,0.185120565929715,0.147702824846885,0.104426649424792,0.0938839474573706,0.0139417630720422,0.194058568776856,0.114037052588179,0.0899995189545823,-0.0436587328334862,0.0374270512688566,0.0946071247795114
