,source,target
1068564,RPL24,DHX38
1068565,FAU,RPL38
1068566,FAU,RPL38
1068567,APEH,BAG1
1068568,FH,TALDO1
1068569,POLR2A,CDC5L
1068570,FAU,UBA52
1068571,FAU,UBA52
1068572,POLR2I,DCAF13
1068573,NDUFS7,UQCRFS1
1068574,TXNL1,PSMB4
1068575,ALDH6A1,RMDN1
1068576,SMG6,NHP2
1068577,TRAP1,ZRSR2
1068578,UQCRB,NDUFA5
1068579,RPL15,FAU
1068580,RPL21,RSL24D1
1068581,AK1,NUDT9
1068582,FKBP2,ETFB
1068583,PMPCB,IDH3A
1068584,DCXR,ACO2
1068585,NDUFB7,ATP5F1D
1068586,GLRX3,TPP2
1068587,PSMD12,EXOSC2
1068588,NDUFV2,COX5A
1068589,BTF3,FAU
1068590,BTF3,FAU
1068591,LEO1,RAD54L2
1068592,RPL35A,RPS26
1068593,PEPD,ALDH8A1
1068594,SEC22B,VPS36
1068595,PSMD5,TTC27
1068596,PPP5C,PPTC7
1068597,PSMD1,RPF1
1068598,PSMD12,BTF3
1068599,TPI1,DERA
1068600,FASN,PSMD4
1068601,PRPF31,NOP58
1068602,BTF3,NOP58
1068603,NOL6,NIP7
1068604,CRAT,WRN
1068605,RPL38,RPS21
1068606,EIF3M,STOML2
1068607,XPO1,MAD1L1
1068608,PHYH,FH
1068609,NOP10,MRPL40
1068610,ATP5PD,RPS23
1068611,NDUFS6,POLR2L
1068612,NDUFA10,TMED10
1068613,PSMD7,NOP58
1068614,PSMC3,ATP6V1A
1068615,ISYNA1,ATP6V1D
1068616,TP53BP1,RNF20
1068617,RPIA,NPEPL1
1068618,RPLP2,SETD4
1068619,RPS20,DICER1
1068620,ARL8A,DUS2
1068621,DHX8,AVL9
1068622,ATP5PD,RPL8
1068623,FH,ALDH6A1
1068624,HSPA2,GCN1
1068625,RECQL,C1orf53
1068626,ATP6V1A,DSCC1
1068627,ATP5PD,RPS16
1068628,DKC1,GRWD1
1068629,NDUFS1,UQCRFS1
1068630,ARCN1,STT3B
1068631,NDUFB7,CHCHD1
1068632,SNRPD2,GCN1
1068633,YBX3,BTF3
1068634,ATP5PD,RPL12
1068635,PMPCB,AARS1
1068636,NTHL1,TP53BP1
1068637,HSPD1,SF3A3
1068638,TAF2,PICK1
1068639,RACK1,DYNC1H1
1068640,TPT1,PRDX3
1068641,MCM3,CRAT
1068642,ATP5PD,TPT1
1068643,TPT1,PSMD7
1068644,POLR2B,ISYNA1
1068645,PSMD12,SDAD1
1068646,TTC27,ISYNA1
1068647,PSMD6,NDUFB9
1068648,SF3B2,DYNC1H1
1068649,PHGDH,PEPD
1068650,MCM3,AVL9
1068651,PI4KA,HSPA2
1068652,EXOSC2,GINS3
1068653,ALDH7A1,AGXT2
1068654,SF3B2,PUF60
1068655,BYSL,GCC1
