,source,target
1094571,TNK2,LIMA1
1094572,TNK2,TRIM28
1094573,TNK2,CAMSAP3
1094574,TNK2,DENND2A
1094575,TNK2,SMARCC2
1094576,TNK2,SORBS1
1094577,TNK2,FBXO41
1094578,TNK2,LEO1
1094579,SH2D7,TNK2
1094580,TNK2,MICAL3
1094581,TNK2,RAI14
1094582,AFDN,TNK2
1094583,TNK2,LRRC7
1094584,TNK2,NLGN3
1094585,SVIL,TNK2
1094586,TNK2,ARHGAP21
1094587,TNK2,CDH10
1094588,TNK2,PPP1R18
1094589,TNK2,MAP9
1094590,ARVCF,TNK2
1094591,TNK2,DNMT3A
1094592,TNK2,SPECC1
1094593,PPP1R12B,TNK2
1094594,TNK2,DOCK7
1094595,DPYSL2,AGK
1094596,AP2S1,DPYSL2
1094597,DPYSL2,BRSK1
1094598,DPYSL2,CDH23
1094599,FZD2,DPYSL2
1094600,PPFIA2,DPYSL2
1094601,DPYSL2,MYO3B
1094602,DPYSL2,CAVIN3
1094603,RSU1,DPYSL2
1094604,DPYSL2,SEPTIN3
1094605,STIM1,DPYSL2
1094606,DPYSL2,TRIM9
1094607,NAE1,DPYSL2
1094608,CKAP5,DPYSL2
1094609,CLTA,DPYSL2
1094610,CLTB,DPYSL2
1094611,DYNC1I1,DPYSL2
1094612,DPYSL2,DYNC1LI1
1094613,DSC2,DPYSL2
1094614,DPYSL2,EVL
1094615,MAP1A,DPYSL2
1094616,DPYSL2,MAP9
1094617,DPYSL2,PLEKHH1
1094618,DPYSL2,SEPTIN9
1094619,TRIM3,DPYSL2
1094620,NUDT21,DPYSL2
1094621,DPYSL2,COPS8
1094622,DHX8,DPYSL2
1094623,DPYSL2,POLN
1094624,DPYSL2,LARP4B
1094625,DPYSL2,LDB1
1094626,DPYSL2,TWNK
1094627,SNRPD2,DPYSL2
1094628,SNRPA,DPYSL2
1094629,DPYSL2,ZBTB41
1094630,DPYSL2,BPNT2
1094631,DPYSL2,AK5
1094632,DPYSL2,LIPN
1094633,NDUFV2,DPYSL2
1094634,DPYSL2,CMAS
1094635,DBT,DPYSL2
1094636,PDHX,DPYSL2
1094637,SPR,DPYSL2
1094638,DPYSL2,CLPP
1094639,RPS17,DPYSL2
1094640,RPS18,DPYSL2
1094641,RPS19,DPYSL2
1094642,DPYSL2,CCT7
1094643,DPYSL2,UBA5
1094644,CACNA1F,DPYSL2
1094645,SYN3,DPYSL2
1094646,DPYSL2,VPS45
1094647,CD72,DPYSL2
1094648,ATG12,DPYSL2
1094649,DPYSL2,COA7
1094650,DPYSL2,C1orf216
1094651,DPYSL2,CAB39L
1094652,DPYSL2,CHCHD3
1094653,DPYSL2,FGD6
1094654,DPYSL2,GATD1
1094655,DPYSL2,RAI1
1094656,DPYSL2,RNASE12
1094657,SEPTIN6,DPYSL2
1094658,SRSF3,DPYSL2
1094659,DPYSL2,SPAG17
1094660,DPYSL2,TRAPPC9
1094661,PRKN,FBXW8
1094662,PTK2,TBK1
1094663,ACTC1,NFIX
1094664,PCCB,NFIX
1094665,ATP2B1,NOS1
1094666,PPA1,PPP1R9B
1094667,BCR,PPP1R9B
1094668,PPP1R12A,PPP1R9B
1094669,ERC2,PPP1R9B
1094670,DSP,PPP1R9B
1094671,TUBA1A,PPP1R9B
1094672,PYGM,PPP1R9B
1094673,DHX9,PPP1R9B
1094674,PPP1R9B,RELCH
1094675,JUP,PPP1R9B
1094676,PPP1R9B,MYO6
1094677,RAPGEF4,PPP1R9B
1094678,MBP,PPP1R9B
1094679,CTNNA2,PPP1R9B
1094680,DLG2,PPP1R9B
1094681,PPP1R9B,PCLO
1094682,KIAA1217,PPP1R9B
1094683,PPP1R9B,MAP3K5
1094684,VARS1,PPP1R9B
1094685,FBXO41,PPP1R9B
1094686,MTSS2,PPP1R9B
1094687,PPP1R9B,CPNE5
1094688,UPF1,PPP1R9B
1094689,OMG,PPP1R9B
1094690,H1-3,PPP1R9B
1094691,GNAZ,PPP1R9B
1094692,MYO1B,PPP1R9B
1094693,SRPK2,PPP1R9B
1094694,PPP1R9B,ATAD3A
1094695,RPLP0,PPP1R9B
1094696,KCNMA1,PPP1R9B
1094697,ANXA2,PPP1R9B
1094698,CENPV,PPP1R9B
1094699,DOK7,PPP1R9B
1094700,KIF2A,PPP1R9B
1094701,TUBA4A,PPP1R9B
1094702,RFX6,PPP1R9B
1094703,SYT7,PPP1R9B
1094704,RBMX,PPP1R9B
1094705,MYO1D,PPP1R9B
1094706,MACROH2A1,PPP1R9B
1094707,NID2,PPP1R9B
1094708,NID1,PPP1R9B
1094709,LAMB2,PPP1R9B
1094710,LAMC1,PPP1R9B
1094711,HSPG2,PPP1R9B
1094712,MYH11,PPP1R9B
1094713,HSP90B1,PPP1R9B
1094714,ITGB1,RELN
1094715,DYNC1I1,FRRS1L
1094716,DYNC1I1,GRIA1
1094717,KIF5B,GRIA1
1094718,AR,POU3F3
1094719,ESRRA,PPARGC1B
1094720,NRP1,MAP6
1094721,PIK3R1,MAP6
1094722,SOX2,HIRA
1094723,SOX2,UBN2
1094724,ATF1,SOX2
1094725,AKAP8,SOX2
1094726,HSPA5,SOX2
1094727,TFEB,SOX2
1094728,SOX2,H4C3
1094729,SOX2,CLINT1
1094730,SOX2,HNRNPF
1094731,SOX2,ATAD3A
1094732,SOX2,RCN1
1094733,LMNB1,SOX2
1094734,RBFOX2,SOX2
1094735,SOX2,TRIM28
1094736,MSH2,SOX2
1094737,SOX2,RANBP2
1094738,SOX2,PUM2
1094739,HSPA8,SOX2
1094740,SOX2,CHAMP1
1094741,FN1,SOX2
1094742,SOX2,HNRNPD
1094743,HNRNPH1,SOX2
1094744,SOX2,KLF3
1094745,RPLP0,SOX2
1094746,RFC3,SOX2
1094747,SOX2,KLF5
1094748,SOX2,NUP98
1094749,ZNF217,SOX2
1094750,EIF2S2,SOX2
1094751,SOX2,TUBB4B
1094752,YY1,SOX2
1094753,SOX2,TUBA1B
1094754,SOX2,RPL10A
1094755,SOX2,DNTTIP1
1094756,PCGF2,SOX2
1094757,SOX2,NUMA1
1094758,SOX2,ING5
1094759,SOX2,KAT6B
1094760,SOX2,NIFK
1094761,SOX2,RBM38
1094762,CREB1,SOX2
1094763,SOX2,DAZAP1
1094764,EED,SOX2
1094765,SOX2,CBX1
1094766,SOX2,SRSF1
1094767,SOX2,NAA40
1094768,VIM,SOX2
1094769,CBX5,SOX2
1094770,SOX2,GLYR1
1094771,SOX2,PRPF8
1094772,SOX2,SPTAN1
1094773,SOX2,PRPF19
1094774,SOX2,KHSRP
1094775,SOX2,MSH6
1094776,SOX2,KIF22
1094777,SOX2,KDM5B
1094778,SOX2,RPS7
1094779,SOX2,FUBP3
1094780,SOX2,MAGOH
1094781,SOX2,FUBP1
1094782,SOX2,ELAVL1
1094783,SOX2,C12orf4
1094784,SOX2,TRAIP
1094785,SOX2,PRKAG2
1094786,CETN2,SOX2
1094787,SOX2,MRPL32
1094788,SOX2,KAZN
1094789,SOX2,PSPH
1094790,NPHS1,KCNMA1
1094791,NPHS1,KCNMB4
1094792,NCOR1,SENP7
1094793,NOTCH1,SENP7
1094794,PLK1,SENP7
1094795,BIRC2,SENP7
1094796,SENP7,CARD9
1094797,WWP2,WBP1L
1094798,ITCH,WBP1L
1094799,WWP1,WBP1L
1094800,NEDD4L,WBP1L
1094801,CACNA1A,WDR7
1094802,CACNA1B,WDR7
1094803,CACNA1B,DMXL2
1094804,ACTB,IGF2BP1
1094805,ACTB,IGF2BP2
1094806,ACTB,KHSRP
1094807,ACTB,FUBP3
1094808,ACTB,STAU2
1094809,DDX3Y,ACTB
1094810,ACTB,POLDIP3
1094811,ACTB,PCBP2
1094812,FLNB,ACTB
1094813,CFL1,FUBP3
1094814,CFL1,IGF2BP1
1094815,SGTB,BOC
1094816,HDAC4,SPTAN1
1094817,HDAC4,SPTBN1
1094818,HDAC4,KCNMA1
1094819,HDAC4,KCNT1
1094820,HDAC4,ITPR1
1094821,HDAC4,ILF3
1094822,SPR,HDAC4
1094823,HDAC4,ILF2
1094824,PHKA1,HDAC4
1094825,HDAC4,CDAN1
1094826,HDAC4,PHKB
1094827,HDAC4,GRIK2
1094828,HDAC4,PITPNM2
1094829,PMCH,HDAC4
1094830,HDAC4,ZFR
1094831,HDAC4,NPTX1
1094832,HDAC4,PHKG1
1094833,HDAC4,MOG
1094834,SEC13,HDAC4
1094835,NPTXR,HDAC4
1094836,SLIT1,HDAC4
1094837,HDAC4,SYT3
1094838,ZFX,HDAC4
1094839,HDAC4,BTBD10
1094840,HDAC4,CDIN1
1094841,HDAC4,GABARAPL1
1094842,GRK5,HDAC4
1094843,HDAC4,CARMIL3
1094844,HDAC4,RPP30
1094845,HDAC4,EXOSC10
1094846,HDAC4,WRNIP1
1094847,HDAC4,NFRKB
1094848,HDAC4,CMTM5
1094849,HDAC4,LSG1
1094850,HDAC4,SMC5
1094851,EZR,HDAC4
1094852,MSN,HDAC4
1094853,HDAC4,YTHDC2
1094854,TCERG1,HDAC4
1094855,CAT,HDAC4
1094856,HDAC4,MACROH2A2
1094857,HDAC4,MCTS1
1094858,HDAC4,FRY
1094859,BTF3,HDAC4
1094860,HDAC4,IFT172
1094861,TCP1,HDAC4
1094862,HDAC4,WDR70
1094863,HDAC4,MRRF
1094864,HDAC4,FCHO2
1094865,POLR2A,HDAC4
1094866,HDAC4,DHX57
1094867,HDAC4,DNAJC3
1094868,NDUFB6,HDAC4
1094869,HDAC4,STRBP
1094870,ZSWIM8,HDAC4
1094871,HDAC4,PCM1
1094872,HDAC4,TMEM121B
1094873,HDAC4,SH3BP1
1094874,TTC26,HDAC4
1094875,HDAC4,FKBP3
1094876,NF2,HDAC4
1094877,HDAC4,CLPB
1094878,HDAC4,NAV3
1094879,HDAC4,DDX46
1094880,COPA,HDAC4
1094881,PSMC3,HDAC4
1094882,HDAC4,IWS1
1094883,HDAC4,EPS8
1094884,HDAC4,SNX33
1094885,HDAC4,CHD6
1094886,HDAC4,PHF10
1094887,HDAC4,FMN1
1094888,HDAC4,WDR6
1094889,HDAC4,VAPA
1094890,MCF2L,HDAC4
1094891,HDAC4,SYT11
1094892,HDAC4,USP24
1094893,MPDZ,HDAC4
1094894,PRMT5,HDAC4
1094895,HDAC4,SETD1B
1094896,SERPINE2,HDAC4
1094897,HDAC4,CABLES2
1094898,HDAC4,PSMC6
1094899,HDAC4,ATP5IF1
1094900,MTIF2,HDAC4
1094901,SEMA7A,HDAC4
1094902,SGPL1,HDAC4
1094903,HDAC4,SNRPD1
1094904,HDAC4,DRAP1
1094905,TUB,HDAC4
1094906,HDAC4,KANSL1
1094907,HDAC4,TRIM56
1094908,HDAC4,KANK4
1094909,HDAC4,RBM39
1094910,TOP3B,HDAC4
1094911,HDAC4,LMTK3
1094912,HDAC4,DYNC1LI1
1094913,CAVIN2,HDAC4
1094914,HDAC4,PHIP
1094915,HDAC4,DCAF8
1094916,HDAC4,LRRC8B
1094917,HDAC4,INTS6
1094918,HDAC4,DNAJC10
1094919,HDAC4,TEX2
1094920,HDAC4,SPRED3
1094921,HDAC4,TRMT1L
1094922,HDAC4,FAM193A
1094923,DLD,HDAC4
1094924,HDAC4,KIAA1522
1094925,HDAC4,USP39
1094926,HSPA4L,HDAC4
1094927,HDAC4,TIMM13
1094928,HDAC4,INO80
1094929,HDAC4,INTS7
1094930,HDAC4,PRR12
1094931,HDAC4,PLCB1
1094932,RPL4,HDAC4
1094933,RPL3,HDAC4
1094934,EIF5,HDAC4
1094935,HDAC4,RPL7A
1094936,HDAC4,FAM120A
1094937,HDAC4,PLCB3
1094938,HDAC4,DOCK11
1094939,DNMT1,HDAC4
1094940,HDAC4,THSD7A
1094941,HDAC4,NAA15
1094942,HDAC4,UBR4
1094943,HDAC4,ARHGAP5
1094944,EIF5B,HDAC4
1094945,MACROH2A1,HDAC4
1094946,HDAC4,DHX29
1094947,HDAC4,AGO2
1094948,HDAC4,KCTD12
1094949,HDAC4,CASKIN1
1094950,PRKRA,HDAC4
1094951,HDAC4,ZC3H15
1094952,HDAC4,PREX2
1094953,HDAC4,NUFIP2
1094954,NAGA,HDAC4
1094955,HDAC4,RTRAF
1094956,DENR,HDAC4
1094957,RNF40,HDAC4
1094958,SMCHD1,HDAC4
1094959,HDAC4,SMG5
1094960,HDAC4,MTMR1
1094961,HDAC4,SHOC2
1094962,VCP,HDAC4
1094963,HDAC4,SCN9A
1094964,HDAC4,CAMSAP3
1094965,HDAC4,ARHGAP23
1094966,HDAC4,STK24
1094967,HDAC4,UBAP2L
1094968,HDAC4,STAU2
1094969,HDAC4,RPS6KC1
1094970,HDAC4,RAPGEF2
1094971,STAU1,HDAC4
1094972,HDAC4,MIOS
1094973,HDAC4,SLC25A11
1094974,HDAC4,UBP1
1094975,HDAC4,CHD8
1094976,HDAC4,TTC7B
1094977,NMT2,HDAC4
1094978,HDAC4,SPATS2L
1094979,HDAC4,FARSB
1094980,SLIT2,HDAC4
1094981,HDAC4,BOP1
1094982,HDAC4,LRRC8C
1094983,HDAC4,ATXN2
1094984,HDAC4,CCT7
1094985,HDAC4,NAA35
1094986,HDAC4,INPP4A
1094987,HDAC4,TANC2
1094988,PPM1G,HDAC4
1094989,PIP5K1C,HDAC4
1094990,HDAC4,DZIP3
1094991,HDAC4,NFX1
1094992,TUBGCP2,HDAC5
1094993,TUBGCP3,HDAC5
1094994,TUBG1,HDAC5
1094995,TUBG2,HDAC5
1094996,TUBGCP6,HDAC5
1094997,TUBGCP5,HDAC5
1094998,TUBGCP4,HDAC5
1094999,IDH2,HDAC5
1095000,ARHGAP12,HDAC5
1095001,MTUS2,HDAC5
1095002,HDAC5,NME7
1095003,ALB,HDAC5
1095004,ARHGEF12,HDAC5
1095005,NEDD1,HDAC5
1095006,FN1,HDAC5
1095007,MZT1,HDAC5
1095008,ACOT13,HDAC5
1095009,C3,HDAC5
1095010,DSP,HDAC5
1095011,CHCHD6,HDAC5
1095012,HSD17B4,HDAC5
1095013,THBS1,HDAC5
1095014,NFAT5,HDAC5
1095015,FBXW11,HDAC5
1095016,COL1A1,HDAC5
1095017,HDAC5,BTRC
1095018,F2,HDAC5
1095019,SCP2,HDAC5
1095020,FRY,HDAC5
1095021,ENO2,HDAC5
1095022,PCM1,HDAC5
1095023,PFN1,HDAC5
1095024,CAT,HDAC5
1095025,ARHGEF7,HDAC5
1095026,CCDC177,HDAC5
1095027,MDH1,HDAC5
1095028,HDAC4,FAM120C
1095029,HDAC4,KHSRP
1095030,HDAC4,KIF3A
1095031,SNPH,HDAC4
1095032,RBFOX3,HDAC4
1095033,HDAC4,FAM98A
1095034,THBS1,HDAC4
1095035,HDAC4,ASF1A
1095036,HDAC4,TENM4
1095037,HDAC4,SCUBE1
1095038,HDAC4,ATXN2L
1095039,HDAC4,PRRC2C
1095040,HDAC4,TMEM94
1095041,HDAC4,OTUD4
1095042,HDAC4,ISYNA1
1095043,RSL1D1,HDAC4
1095044,PRRC2A,HDAC4
1095045,HDAC4,DHX9
1095046,HDAC4,GPRIN3
1095047,FXR1,HDAC4
1095048,HDAC4,HABP4
1095049,HDAC4,USP10
1095050,HDAC4,PBRM1
1095051,HDAC4,TBC1D10B
1095052,HDAC4,AGO1
1095053,NPTX2,HDAC4
1095054,PI4KA,HDAC4
1095055,NEMF,HDAC4
1095056,HDAC4,HDLBP
1095057,HDAC4,RPL36
1095058,HDAC4,TNRC6B
1095059,ELAVL4,HDAC4
1095060,HDAC4,RPL23
1095061,SYNJ1,HDAC4
1095062,HDAC4,ELAVL3
1095063,HDAC4,KIF1A
1095064,HDAC4,SPATS2
1095065,HDAC4,TDRD3
1095066,CLASP2,HDAC4
1095067,HDAC4,INPP5J
1095068,NVL,HDAC4
1095069,HDAC4,MTDH
1095070,HDAC4,LSM14A
1095071,HDAC4,MADD
1095072,OPHN1,HDAC4
1095073,HDAC4,SEPTIN9
1095074,HDAC4,RPL24
1095075,HDAC4,DCP1A
1095076,HDAC4,FMR1
1095077,HDAC4,DIP2B
1095078,HDAC4,ZNF385B
1095079,HDAC4,MYBBP1A
1095080,HDAC4,ELAVL2
1095081,APC,HDAC4
1095082,HDAC4,SCN8A
1095083,HDAC4,WASHC5
1095084,CETN2,HDAC4
1095085,TNKS,HDAC4
1095086,CASK,HDAC4
1095087,HDAC4,SAFB
1095088,HDAC4,GPR158
1095089,HDAC4,SYT6
1095090,KALRN,HDAC4
1095091,HDAC4,AGO3
1095092,HDAC4,NWD2
1095093,HDAC4,TRAPPC9
1095094,CACNA2D1,HDAC4
1095095,HDAC4,VPS16
1095096,HDAC4,CACNA1B
1095097,HDAC4,USP9X
1095098,GNL1,HDAC4
1095099,AP3D1,HDAC4
1095100,HDAC4,CACNA1E
1095101,HDAC4,HNRNPK
1095102,HDAC4,CLMN
1095103,HDAC4,PACSIN3
1095104,DDX5,HDAC4
1095105,TRIO,HDAC4
1095106,HDAC4,DTD1
1095107,GPC1,HDAC4
1095108,KPNA3,HDAC4
1095109,MYL4,HDAC4
1095110,CACNA1A,HDAC4
1095111,HDAC4,SRRT
1095112,HDAC4,UNK
1095113,HDAC4,PDCD10
1095114,EIF2B2,HDAC4
1095115,HDAC4,LRRC47
1095116,PPIB,HDAC4
1095117,SNRPA1,HDAC4
1095118,HDAC4,AUH
1095119,HDAC4,AP3M1
1095120,HDAC4,SNX27
1095121,RAD21,HDAC4
1095122,ITGB1BP1,HDAC4
1095123,HDAC4,IGSF9B
1095124,HDAC4,DDX20
1095125,HDAC4,NGEF
1095126,FER,HDAC4
1095127,HDAC4,LIMCH1
1095128,SMAP,HDAC4
1095129,HDAC4,TLN2
1095130,HDAC4,RABL6
1095131,ADGRB3,HDAC4
1095132,SHISA7,HDAC4
1095133,CHMP2A,HDAC4
1095134,HDAC4,CCM2
1095135,HDAC4,SMARCD2
1095136,UFL1,HDAC4
1095137,HDAC4,ABI3
1095138,HDAC4,DMXL1
1095139,HDAC4,MAGED1
1095140,HDAC4,SMU1
1095141,HDAC4,NUCKS1
1095142,HDAC4,PDCD4
1095143,HDAC4,PTK2
1095144,HDAC4,PSD3
1095145,HDAC4,SCAF8
1095146,HDAC4,HBS1L
1095147,HDAC4,FMN2
1095148,HDAC4,STAG1
1095149,HERC2,HDAC4
1095150,HDAC4,MAGI3
1095151,HDAC4,DNAJC2
1095152,AMFR,HDAC5
1095153,EEF2,HDAC5
1095154,TAGLN2,HDAC5
1095155,IMMT,HDAC5
1095156,ANXA1,HDAC5
1095157,HSDL2,HDAC5
1095158,NCCRP1,HDAC5
1095159,PSMB1,HDAC5
1095160,TF,HDAC5
1095161,SERPINF1,HDAC5
1095162,ENO3,HDAC5
1095163,GDI2,HDAC5
1095164,ITIH3,HDAC5
1095165,PKP1,HDAC5
1095166,A2M,HDAC5
1095167,FMNL1,HDAC5
1095168,F5,HDAC5
1095169,HDAC5,GIT1
1095170,SKP1,HDAC5
1095171,SUPT6H,HDAC5
1095172,NID1,HDAC5
1095173,SLC6A4,ARGLU1
1095174,SLC6A4,ADAM22
1095175,SLC6A4,LUZP1
1095176,SLC6A4,RDH13
1095177,SLC6A4,DLG1
1095178,SLC6A4,DZANK1
1095179,SLC6A4,UPF1
1095180,SLC6A4,MARK2
1095181,SLC6A4,SEPTIN11
1095182,SLC6A4,SLC32A1
1095183,SLC6A4,SEPTIN8
1095184,SLC6A4,FXR1
1095185,SLC6A4,MPC1
1095186,SLC6A4,TECR
1095187,SLC6A4,AGAP1
1095188,FN1,SLC6A4
1095189,SLC6A4,CORO1C
1095190,SLC6A4,FMR1
1095191,SLC6A4,ADD3
1095192,SLC6A4,ITPR2
1095193,SLC6A4,NCKAP1
1095194,SLC6A4,PUF60
1095195,SLC6A4,MARK1
1095196,SLC6A4,SSBP1
1095197,PPP1R12A,SLC6A4
1095198,SLC6A4,REPS1
1095199,CAT,SLC6A4
1095200,GABBR2,SLC6A4
1095201,WDR47,SLC6A4
1095202,ARHGAP32,SLC6A4
1095203,SLC6A4,CEP170B
1095204,TPM3,SLC6A4
1095205,SLC6A4,SPATS2
1095206,SLC6A4,LRRC7
1095207,SLC6A4,TRAF3
1095208,SLC6A4,BEGAIN
1095209,SLC6A4,DLGAP4
1095210,SLC6A4,DLG4
1095211,SIPA1L1,SLC6A4
1095212,ATP9A,SLC6A4
1095213,SLC6A4,ARHGAP23
1095214,SLC6A4,KCNAB2
1095215,SLC6A4,CAMK2B
1095216,SLC6A4,CSNK1A1
1095217,PRKAR2A,SLC6A4
1095218,SLC6A4,CNTNAP1
1095219,SLC6A4,VPS13C
1095220,SLC6A4,GULP1
1095221,SLC6A4,ARHGAP26
1095222,SLC6A4,LRCH1
1095223,NEFL,SLC6A4
1095224,SLC6A4,MAPRE2
1095225,SLC6A4,STK39
1095226,SLC6A4,MTCH1
1095227,SLC6A4,AP1B1
1095228,SLC6A4,MAGI2
1095229,YES1,SLC6A4
1095230,DLGAP1,SLC6A4
1095231,SLC6A4,TNK2
1095232,ABLIM3,SLC6A4
1095233,SLC6A4,FBXO41
1095234,SLC6A4,SHANK3
1095235,SLC6A4,CTNNB1
1095236,SLC6A4,FARP1
1095237,NEFH,SLC6A4
1095238,SLC6A4,CALCOCO1
1095239,SLC6A4,SLC25A25
1095240,SLC6A4,STOML2
1095241,SRGAP3,SLC6A4
1095242,MYO9A,SLC6A4
1095243,SLC6A4,MACF1
1095244,SLC6A4,MAPRE3
1095245,SLC6A4,THEM6
1095246,MTHFD1,SLC6A4
1095247,SLC6A4,ARHGAP21
1095248,SLC6A4,AMPD3
1095249,SLC6A4,ACTR2
1095250,SLC6A4,GNB1
1095251,SLC6A4,SYT11
1095252,DLGAP3,SLC6A4
1095253,VIM,SLC6A4
1095254,SBF1,SLC6A4
1095255,TNC,SLC6A4
1095256,PPFIA3,SLC6A4
1095257,SLC6A4,ADCK1
1095258,HIP1,SLC6A4
1095259,SLC6A4,SGIP1
1095260,SLC6A4,DLG2
1095261,SLC6A4,SCAI
1095262,SLC6A4,SORBS1
1095263,SLC6A4,SRRM1
1095264,PC,SLC6A4
1095265,SLC6A4,PURA
1095266,SLC6A4,BMP2K
1095267,SLC6A4,AGAP2
1095268,ABCD3,SLC6A4
1095269,SLC6A4,IQSEC1
1095270,SLC6A4,HOMER1
1095271,SLC6A4,DGKE
1095272,GFAP,SLC6A4
1095273,SLC6A4,PTCD3
1095274,SLC6A4,TNR
1095275,SLC6A4,AP3B2
1095276,GAK,SLC6A4
1095277,SLC6A4,SLC25A11
1095278,SLC6A4,KCTD3
1095279,SLC6A4,CAPZB
1095280,CASK,SLC6A4
1095281,MARK3,SLC6A4
1095282,PAM,SLC6A4
1095283,SLC6A4,RAB11FIP2
1095284,CDH2,SLC6A4
1095285,EEF2,SLC6A4
1095286,SLC6A4,YWHAG
1095287,SLC6A4,GIT1
1095288,SLC6A4,RALGAPA1
1095289,SLC6A4,JPH3
1095290,SLC6A4,DYNC2I1
1095291,SLC6A4,PPP1R9B
1095292,SLC6A4,CDC42BPB
1095293,SLC6A4,EPS15
1095294,SLC6A4,PARD3
1095295,PALM,SLC6A4
1095296,SLC6A4,GRIA2
1095297,AP3D1,SLC6A4
1095298,SLC6A4,PRPH
1095299,SLC6A4,GDAP1
1095300,SLC6A4,EXOG
1095301,MAP3K13,SLC6A4
1095302,SLC6A4,MARK4
1095303,PPIB,SLC6A4
1095304,SLC6A4,ACTR1B
1095305,TGM2,SLC6A4
1095306,SLC6A4,CPSF2
1095307,SLC6A4,NPTX1
1095308,NF1,SLC6A4
1095309,SLC6A4,CRMP1
1095310,APC2,SLC6A4
1095311,ELP1,SLC6A4
1095312,SLC6A4,CORO2A
1095313,SLC6A4,SNTA1
1095314,SLC6A4,ARL6
1095315,HERC2,SLC6A4
1095316,MAPK3,SLC6A4
1095317,SLC6A4,LARP1
1095318,SLC6A4,ARHGAP39
1095319,EIF4B,SLC6A4
1095320,SLC6A4,TNIK
1095321,SLC6A4,AMOTL1
1095322,ADGRB2,SLC6A4
1095323,SLC6A4,PBXIP1
1095324,SLC6A4,TRIM46
1095325,SLC6A4,CLASP1
1095326,SLC6A4,NLGN2
1095327,SLC6A4,DHRS7B
1095328,PHGDH,SLC6A4
1095329,SLC6A4,OPA3
1095330,SLC6A4,ACSBG1
1095331,SLC6A4,USP9X
1095332,SLC6A4,ERBIN
1095333,SLC6A4,LLGL1
1095334,SLC6A4,NCDN
1095335,SLC6A4,CERK
1095336,SLC6A4,SYT6
1095337,SLC6A4,RPTOR
1095338,SLC6A4,RAI14
1095339,SLC6A4,HSDL1
1095340,SLC6A4,OXCT1
1095341,ACAN,SLC6A4
1095342,SLC6A4,MAST1
1095343,SART1,SLC6A4
1095344,SLC6A4,VAPA
1095345,DNM1L,SLC6A4
1095346,SLC6A4,PTPN13
1095347,SLC6A4,APPL2
1095348,SLC6A4,PRICKLE2
1095349,SLC6A4,TUBGCP2
1095350,NFASC,SLC6A4
1095351,SNAP91,SLC6A4
1095352,SLC6A4,DAGLA
1095353,SLC6A4,TOLLIP
1095354,LZTS3,SLC6A4
1095355,SLC6A4,CACNA1E
1095356,SLC6A4,DYNC2I2
1095357,MYO1F,SLC6A4
1095358,SLC6A4,CLIP3
1095359,SLC6A4,MAPK8IP2
1095360,ARAF,SLC6A4
1095361,SLC6A4,DECR2
1095362,SLC6A4,AGO2
1095363,SLC6A4,NDUFV1
1095364,TMOD1,SLC6A4
1095365,SLC6A4,HCN2
1095366,SLC6A4,MAP7D2
1095367,SCP2,SLC6A4
1095368,SLC6A4,GALNT16
1095369,USP12,SLC6A4
1095370,SLC6A4,NDUFA9
1095371,SLC6A4,KIAA1549
1095372,SLC6A4,MAGI3
1095373,SLC6A4,ELP3
1095374,SLC6A4,TUBGCP3
1095375,SLC6A4,ARMCX1
1095376,SLC6A4,DYNC1LI1
1095377,SLC6A4,CAMSAP2
1095378,UBR5,SLC6A4
1095379,SLC6A4,PDK3
1095380,APC,SLC6A4
1095381,SLC6A4,TBC1D10B
1095382,SLC6A4,FKBP8
1095383,SLC6A4,NWD2
1095384,SLC6A4,SRP68
1095385,SLC6A4,ARPC5L
1095386,SLC6A4,EPB41L1
1095387,SLC6A4,CAMSAP3
1095388,SLC6A4,SERAC1
1095389,SLC6A4,ARHGEF7
1095390,SLC6A4,MICU3
1095391,SLC6A4,AMOT
1095392,SLC6A4,MAGI1
1095393,ADGRL1,SLC6A4
1095394,SLC6A4,TFB1M
1095395,SLC6A4,FAHD2A
1095396,SLC6A4,OSBPL6
1095397,SLC6A4,FLII
1095398,VCAN,SLC6A4
1095399,SLC6A4,PNPLA8
1095400,SLC6A4,NLGN3
1095401,ELFN1,SLC6A4
1095402,SLC6A4,CASKIN1
1095403,PHYH,SLC6A4
1095404,SLC6A4,MTSS2
1095405,SLC6A4,PTPRN2
1095406,SLC6A4,PRDX2
1095407,SLC6A4,CBR4
1095408,SLC6A4,PFN2
1095409,NDUFS2,SLC6A4
1095410,SLC6A4,SLC25A46
1095411,SLC6A4,DAB2IP
1095412,ACTN4,SLC6A4
1095413,SLC6A4,SIPA1L2
1095414,SLC6A4,PHKG1
1095415,SLC6A4,DLGAP2
1095416,SLC6A4,VPS16
1095417,SLC6A4,MCCC1
1095418,SLC6A4,HAP1
1095419,BIN1,SLC6A4
1095420,VCL,SLC6A4
1095421,SLC6A4,SPECC1
1095422,SLC6A4,LACTB
1095423,SLC6A4,TRAPPC5
1095424,GNAZ,SLC6A4
1095425,SLC6A4,REPS2
1095426,SLC6A4,ROGDI
1095427,SGPL1,SLC6A4
1095428,SLC6A4,CCDC177
1095429,SLC6A4,CDC42
1095430,SLC6A4,GRIP1
1095431,SLC6A4,MAP2K1
1095432,SLC6A4,GPX4
1095433,SLC6A4,DIRAS2
1095434,SLC6A4,DGKB
1095435,SLC6A4,YWHAB
